,LSOA21CD,IMD_decile,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
20863,E01021968,1,29.65986395,9.109838626,11645.3,6.094182825
20864,E01021969,2,28.68284229,8.771929825,11936.3,7.028360049
20865,E01021970,1,34.10041841,10.69868996,6666.7,7.496012759
20866,E01021971,8,14.74550898,2.806589384,3892.9,6.715328467
20867,E01021972,5,17.86030062,5.74127907,9585.1,5.31107739
20868,E01021973,7,17.53246753,3.933910307,3752,5.124223602
20869,E01021974,3,17.39130435,6.031273269,4283.8,4.874446086
20870,E01021975,2,30.03144654,8.376623377,18919.2,7.321131448
20871,E01021976,4,27.6285495,7.24450194,9075.1,13.37099812
20872,E01021977,2,29.25958965,6.618962433,17864,7.379518072
20873,E01021978,7,17.36790607,3.914297487,2332.6,12.97208539
20874,E01021979,4,21.97452229,7.579787234,18896.2,5.128205128
20875,E01021980,6,22.64927934,6.591448931,14695.2,5.061728395
20876,E01021981,6,18.96341463,6.387327542,11041.2,8.185840708
20877,E01021982,4,16.99581089,4.912451362,13941.6,7.286995516
20878,E01021983,7,18.90196078,4.668470907,11581.5,7.142857143
20879,E01021984,4,33.8453661,9.967845659,18794.7,3.045685279
20880,E01021985,6,21.53846154,5.782060786,10915.1,4.658385093
20881,E01021986,5,22.35741445,7.581967213,9443.6,4.633781764
20882,E01021987,6,20.41884817,5.457340507,3816.3,5.598455598
20883,E01021988,1,42.74239816,19.33701657,5449,4.80349345
20884,E01021989,2,44.15487714,12.97185999,8466.3,6.382978723
20885,E01021990,1,41.95323246,13.50030544,10048.7,7.781456954
20886,E01021991,4,18.88888889,5.233111323,12374.7,3.269230769
20887,E01021992,4,22.6,6.565656566,13099,4.457142857
20888,E01021993,6,16.73076923,4.449741756,11224.7,4.109589041
20889,E01021994,5,33.85608856,9.075194468,11011.5,3.102625298
20890,E01021995,7,23.1884058,7.195845697,13430.1,3.092783505
20891,E01021996,4,25.45931759,8.091603053,11049.9,5.972045743
20892,E01021997,1,26.7281106,9.070294785,4648.2,3.721488595
20893,E01021998,1,23.45469941,7.623626374,9826.5,1.631116688
20894,E01021999,3,22.54127782,5.754550793,1037.5,4.423076923
20895,E01022000,5,22.94596595,5.535279805,11071.7,6.549118388
20896,E01022001,1,24.17721519,10.37687145,10412.3,5.396825397
20897,E01022002,4,23.92254841,6.41025641,10227,5.394190871
20898,E01022004,4,29.07662083,6.048387097,11200.9,5.028571429
20899,E01022005,7,17.1147541,4.328523862,8104.4,4.761904762
20900,E01022006,1,28.04195804,6.73344463,6593.4,4.41426146
20901,E01022007,2,23.90381895,5.561497326,8060.6,5.160142349
20902,E01022008,5,31.71368861,10.37246582,5291.7,3.182579564
20903,E01022009,5,22.6443769,7.025607354,4931.8,4.786324786
20904,E01022010,5,28.125,4.991394148,7301.7,13.81118881
20905,E01022011,4,24.75308642,7.449560269,12773.4,9.982174688
20906,E01022012,4,31.47835863,10.11633789,3724.5,5.304212168
20907,E01022013,9,15.67635904,3.352540597,1215.2,5.92459605
20908,E01022014,5,19.59183673,6.163021869,4819.5,4.203152364
20909,E01022015,8,14.95076097,3.997093023,463.6,4.426229508
20910,E01022016,3,34.06113537,7.539900936,4793.4,4.518664047
20911,E01022017,5,22.46726396,4.644326867,3974,4.794520548
20912,E01022018,3,28.0158207,5.849268841,4127.5,6.333739342
