LSOA21CD,band_1_mean,band_2_mean,band_3_mean,band_4_mean,band_5_mean,band_6_mean,band_7_mean,band_1_stdev,band_2_stdev,band_3_stdev,band_4_stdev,band_5_stdev,band_6_stdev,band_7_stdev
E01004695,9097.750056812609,9345.50193219701,9899.987763430441,9989.886853091146,11903.296170144204,11351.431205544715,10531.534068151694,323.0358671547706,353.89156783307953,426.1372832418287,512.7112330187979,1206.3876201024816,728.8493732349086,737.0972787752744
E01004696,8550.713153534089,8691.638791247178,9325.736085842882,9160.167930022737,14045.546301969584,11473.901382175954,9797.47627733614,385.8015596925589,447.4988660681045,506.6913030776208,672.0032963567373,1571.3578346703857,696.6654870357261,567.1389789335875
E01004697,9107.451030008724,9376.420083384792,10094.978169530972,10149.880131908307,13182.561623754273,11988.289151760855,10725.025263654452,572.1808626275986,660.2030619351334,677.6395705339343,878.9201188249945,1746.1484421145835,775.8057714329225,697.4153109734933
E01004698,8803.911049537153,9057.304765400257,9724.060708524466,9709.080000040098,12963.835539446134,11596.22656422342,10366.111998777655,364.27388651780564,427.7778066770173,458.56580471874224,587.913362175154,1045.1275087061797,570.0066871284046,561.7300056418918
E01004699,9241.369857183601,9531.546492985672,10235.930565632785,10425.512702647085,12192.290940351797,11891.393959162515,11046.1463297455,558.2252363464149,650.1020474614496,755.2954665014339,976.2007761574123,1188.3640262132085,921.6481764430654,941.602686227066
E01004700,8781.23244439199,9041.931933545067,9763.097942782853,9728.291299026314,12696.790824693851,11276.8782560185,10157.2367342389,372.1409400058365,420.46052486917,400.5237140260992,550.6329815762726,1424.0649656862279,429.35186077164155,488.0467548562671
E01004701,8786.135877220522,8989.36894167926,9686.742725036227,9636.390858994906,13628.506488115807,11847.22729098179,10367.752569477014,361.26931797673603,406.4038678026413,462.8119262236895,575.8383428076784,2051.991625003287,1056.6831089393652,571.9545772296176
E01004702,8961.619101642313,9154.62284399732,9804.570861545228,9799.064523934341,13660.638926094198,11967.935351941704,10507.029804221596,594.2875926608036,685.1731950945572,751.6065963595478,997.4084588579949,2107.566004372748,1069.920318875522,971.4972396808403
E01004703,8626.394237774974,8823.09855549932,9489.812713628131,9388.1856132316,13714.81787124984,11458.934398873984,10004.673113490875,384.7805180831637,443.5058000694173,467.7625009122197,619.2456632958006,1437.2332953076707,782.4110288704092,754.4937247680117
E01004705,8950.90591783443,9170.349814752897,9849.702835748778,9806.71547303794,13793.139384137288,11819.439558762078,10480.479314237342,659.407584782786,724.6763903934876,732.4057740418122,894.4813682357459,2089.2085797956115,831.7598338426823,800.3424774473855
E01004706,8694.023475615422,8858.544110592778,9559.98256850829,9403.887521691682,14750.14909688589,12781.469266908201,10711.730522718657,398.1157764464689,441.166241128915,558.2149260676008,650.4253306993814,2607.8027086759175,2771.021398082524,1764.7876708652889
E01004707,8681.46458491549,8828.511226488748,9412.913680614714,9308.277059902997,14127.21246457075,11628.34901564296,10146.285416643072,382.07136147230017,430.9068188415211,455.5169085235854,575.1289000711856,2204.1727686107383,769.0566863289201,624.5652067155527
E01004708,8609.539422144273,8820.588189928068,9455.713204773749,9432.688552610429,12838.508166223322,11353.262500033654,10172.101426948446,465.29671303833493,523.5353440326194,590.4702017074626,729.1759888538863,1196.872964159564,708.3382203958164,663.9949133004543
E01004709,8813.877012315823,9018.73327035587,9658.70719179414,9609.747571321319,13721.615140744218,11754.601433670228,10384.460667106114,327.8218949386774,376.4767338517542,379.10381101377516,487.66961066370703,1423.8751322708167,649.3730260070773,502.4541655814703
E01004710,8823.8738595576,8965.823126473366,9589.370986859305,9547.112821528377,14320.398514578994,12230.255653883047,10527.822568783586,459.88327414132874,513.1627635958855,599.8942372180743,819.6476069617779,2143.0210113632065,1159.7800333650018,948.9919575934049
E01004711,8942.116883071836,9149.643421174085,9836.962356761296,9736.724157135628,14223.707037269964,12211.23679033921,10480.935977965099,653.2942797129728,783.8433710854638,911.6717055803301,1107.4857484879965,1812.180171853874,1223.5575109934189,881.0725334949485
E01004712,9391.307272180651,9638.80321178348,10231.345563357383,10394.971705488726,11734.900070357455,11639.849999548534,10852.795610954878,678.1188820588923,745.0275295705094,810.8249348680632,926.6971761560133,1423.8237427220217,1166.6542136623698,1067.3922370542382
E01004713,9452.724255763653,9729.147716498514,10325.343502941221,10514.874278737461,11516.441910157495,11561.068856095577,10979.702821627658,840.1951606668958,923.6142555501057,1072.75840830212,1209.5433139152308,1375.5849228064474,1048.7850549552925,698.1018203802422
E01004714,9361.361381685665,9649.655600126898,10294.796196204843,10470.301235448664,11733.947871167467,11704.048479066438,11102.145496624054,651.7085803875166,729.4132978635669,892.6392001368272,1058.5583670475983,1443.834886219943,1411.7191190738142,1579.7921720628096
E01004715,9672.412795561113,9959.658810952757,10538.278332064176,10692.653442179939,12090.28038007178,12669.004713859778,12179.550705405694,1250.561714447441,1454.4009554847828,1543.4232066704417,1586.3623978397416,2120.6874082598215,3650.5771433659675,4229.23456111249
E01004716,9217.000218769377,9427.947729773152,10026.388519627015,10089.529528769543,13061.877090214757,11819.285026389496,10699.221243049718,555.2445260811569,686.8411078362434,748.7959965127623,975.9840381287562,2096.1931390722452,980.3604863183299,1088.5222256775853
E01004717,9213.272052268787,9461.138768230427,10069.466131263242,10205.630040579015,11852.47339385589,11592.555915918674,10853.068905548946,437.45235658155417,515.9006227965808,591.2756409119309,740.0141891154495,1622.6456184947963,917.474559027864,946.1223926912444
E01004718,8767.26088916602,8980.36986545093,9556.42630067502,9615.898928476683,12122.039787453803,11423.963286876686,10486.762671218863,225.34125260348824,234.87985754347838,300.20673846456305,354.83891266175596,597.1369369811883,397.8970106461892,345.4454114158331
E01004719,8761.42455508477,8989.585914350871,9613.006693406234,9684.279014087213,12283.010979515055,11421.349557366377,10522.188754485976,144.6722858315168,147.0981210972251,162.53739391327278,198.25811573698869,652.2660287056328,331.5023032102281,240.7724644365204
E01004720,8801.810646933734,9048.688663748604,9713.704733068413,9813.24422107634,12286.308523695932,11494.096617040312,10585.787508350662,256.25681104705177,277.5753286090241,311.0232419477304,400.56009233217725,788.3192866134332,396.2408201694314,443.1205531813132
E01004721,8795.59922570965,9007.420378298068,9623.837608921267,9647.479687064437,12612.921165304153,11566.261828155752,10502.686461442367,305.6470099249155,335.93554919363083,378.3141795877973,488.8041468515632,1477.6876470709055,585.5051446363584,449.36885713718357
E01004722,8726.728853983594,8956.550265153937,9555.536640476634,9576.985337328071,12475.57636538306,11463.489808696184,10426.693368039276,250.59490453988371,292.9519655675008,318.37274363959136,395.12063198393093,699.9885108881413,505.01011938759024,481.97574874066794
E01004723,8834.05875183293,9067.69108564465,9693.207345714329,9763.731705310533,12330.699914893497,11802.616744333562,10820.122845216152,215.82690421066377,224.60518934528926,229.51280983746057,300.87573771666905,658.1826370414385,430.2266707506063,425.44595654897734
E01004724,8869.997195330818,9026.588200147098,9574.860097177112,9614.884824972234,12180.822459148872,11396.4177571805,10421.135457055432,292.08364851753686,355.9051116070712,400.4419217561383,519.0824170288698,1100.5090715621855,776.8270208695438,688.0577676890217
E01004725,9461.40635426572,9774.692019658823,10592.99400755625,10583.61895363429,15173.400775898563,13032.643697411158,11266.415240000122,1355.056570012692,1588.0509317174733,1755.874813974963,2009.6481164146521,3703.3765630777816,2307.579463811544,1599.2441373903025
E01004726,8843.389369098206,9059.541865678551,9744.19560569766,9707.17943169513,13867.72909486889,12027.690130733052,10581.56107498659,542.4260870807627,629.6784906279473,711.8764455301647,858.5067857725137,1349.556256696286,870.3540092413796,832.9387055169885
E01004727,8724.06464746275,8786.514154960463,9455.362093720763,9195.864051523607,16350.310013669707,12781.650551860066,10318.460075904932,437.86333289596365,497.29392779731126,608.5541108312034,787.5320904021855,2846.8298391218277,1962.308735035714,1208.6905190651391
E01004728,8973.703206786933,9217.461487279455,9895.415908229728,9920.872304278273,13154.268947092272,11886.088823045198,10636.628805546487,529.7960854650574,563.9739709791884,684.6102138009766,798.2144260454518,1026.8147159163934,902.8692645756176,762.8948065952479
E01004729,8775.575619112546,8996.199471588252,9670.71564772703,9675.451052909164,13198.152530671554,11739.193562571447,10462.140010263834,350.1675299992551,383.60455675480944,454.0985912441154,567.3639778872194,1215.4722382405162,622.9387245761501,526.684132056305
E01004730,8836.241693511785,8931.608496786852,9653.353053920615,9457.810972615242,16443.37110636549,13640.284833108586,10968.645046774269,390.09942741966483,458.4214650549615,543.9838308436887,681.3518323595553,2656.1515394499597,2141.737371788024,1178.3619587749556
E01004731,8944.133209133128,9096.934860641324,9693.776923389854,9587.09916752082,13645.222123050436,11592.552297797198,10108.05895587972,729.2980414673809,876.7670286965827,962.043133917484,1220.3257942274502,3380.6310569541265,1851.863802366514,1368.7264852874623
E01004732,9097.28260715843,9366.29462059862,9948.15739151272,10074.972569848705,10924.098581877115,11046.376324739947,10488.525814102944,386.312494922777,459.0627284534075,547.5759241223035,630.884057332124,713.6224463974651,681.5575134245565,527.5213661790169
E01004733,9153.75410170202,9414.34740967723,10051.656518082462,10047.052714395824,12509.040128010762,11596.357043947926,10471.187893421049,542.2590274787772,618.589040634622,714.1102867903865,873.5345366571725,2000.6911636503767,1150.166735350397,857.1163184195361
E01004734,9313.432799657667,9566.512944237256,10092.422603543482,10221.370974263793,11457.589874126026,11300.502229564187,10694.586788793958,754.3247261244177,854.341004250805,1000.9156217405877,1140.356096319622,1792.7499517599044,1283.6670078631234,1220.2630111915926
E01004735,9359.562421333507,9637.000718621963,10193.633549571832,10326.348070228925,11608.590876148635,11470.641292442944,10759.97223106737,581.1691153454932,649.755794109253,755.412579230236,913.5368074161473,1308.8335030895234,1085.1653014690603,1000.7453256872316
E01004736,9205.684650083444,9383.487702599212,10068.791519459324,10059.956537448721,14069.630655426192,12430.33091775432,10864.968022721723,732.0733144050567,870.4283093618237,1015.3634572772163,1325.6464609465431,3140.5872784770013,2273.3582188189275,2251.900614955303
E01004737,9138.257872383037,9314.952096948675,9835.431892245138,9902.917075100539,12698.307533475076,11680.929509751788,10535.865368073371,379.41301443334146,427.1416783679547,502.8379858677986,641.6044238391695,1440.567142882923,931.1952049732992,666.4027812943325
E01004740,8733.058601351822,8874.368405081486,9387.522666789231,9399.822265745926,12508.072803525532,11267.381998759594,10186.308132979506,312.85917040704464,376.508096144637,450.9884000733196,562.8418119899079,1118.654272203089,456.4441169730529,485.91329697476374
E01004741,9066.900598574477,9219.307125413674,9739.470518155795,9791.94907402048,12329.542462342733,11439.392138038764,10421.319965921439,419.87200651381755,464.3792313286319,539.9785281337918,667.7330909163703,1316.7083617808107,592.4650195640669,575.0827980180975
E01004742,9244.697108896968,9506.358955232145,10076.858682248596,10188.977769692443,11758.391626684719,11511.723166287427,10714.28922296013,256.57471870585664,288.85151148575386,320.65871709785387,374.3067918707502,541.7232133703278,509.20992571630325,453.4152011851321
E01004743,8847.964412380836,9092.666377848012,9654.109482722562,9686.841080768862,11820.15277159517,11108.014300971874,10201.146384431217,490.94531316529594,508.99907157251965,583.1853185880082,703.3482212556771,1580.3299833170909,608.0584026644927,591.9382136490466
E01004744,9022.262345718056,9202.335523716134,9762.825691184753,9694.148714713336,13066.897866444615,11572.248660447773,10366.505810983248,429.5406990748965,507.55303775119006,515.005592686281,705.5904248378882,4232.110023821602,1406.4196430924317,649.6598629858884
E01004746,8873.892010048598,9009.729122283472,9456.841843879545,9464.765732941483,12456.35775534718,11212.197705486573,10159.804804747284,293.9519873901074,319.7958145240643,395.95156783656637,476.5295511973783,1288.7816199816637,654.1202791847269,568.59284744757
E01004747,9035.059148234088,9241.456736485456,9856.251751929567,9834.099765048872,13321.76183590705,11805.08691935313,10586.146411838608,673.3077405439586,785.0037586891432,847.8349689165202,1098.2738370031395,3297.771414762361,1145.6992998406026,1018.5484363849918
E01004748,9360.32780356372,9623.89041179985,10333.194499882853,10446.113647488917,12115.722151983728,11899.9727877999,11029.414392419676,582.5082564209465,639.614256638993,760.278256122317,842.6504377379824,1214.9476785772217,869.5563030639372,743.7664917833958
E01004749,9046.773321116048,9298.279428901122,9904.57462924422,10015.894225041766,11790.897928666682,11399.491657538854,10590.694079453193,490.0794214650379,529.209020123633,558.1197663002214,699.6251631004532,1393.0104477741738,813.6629118506687,814.3855482844775
E01004750,9110.830559930237,9454.394180630774,10163.155435140125,10326.223943929042,11582.37160966588,11376.166053639243,10551.928336428125,712.4563211708394,813.2422498185275,969.5656448844514,1110.1266940940232,1160.7004233079247,1117.001829358924,940.0290520333824
E01004751,8971.85851233187,9216.11026658256,9879.198843068742,9921.269554911612,12477.63723435463,11461.241209870606,10375.176454883476,521.7006334492702,574.4097865841276,547.2471197667282,752.3432745314768,1524.2068995358534,536.9255893206462,688.9103856416305
E01004752,9050.557739877606,9313.802106896865,9895.182622882912,9988.378827587643,11451.855319211163,11166.617923411593,10362.145428832175,239.61813528410005,270.29579835040477,301.15232915343137,370.09328386253645,825.0426823793024,509.9533820727823,408.03135583603165
E01004753,9021.956079279696,9298.636129025712,9937.522483755229,10013.120740081637,11917.034318414353,11389.740587334838,10440.75157024869,314.98793551581025,349.66837116855766,475.77023947468854,516.7158277366711,563.409693744911,434.27446339645394,394.1152503871105
E01004754,8809.499840752896,8998.145605475074,9652.118934878727,9582.734996259216,13659.155406106041,12100.338384450064,10628.52720347459,576.4714239511179,615.5076590850912,833.0131186103242,852.1050317701574,1558.993305967205,1862.133332725276,1982.9047902985583
E01004755,8893.87215675243,9131.246734607852,9816.039704640614,9875.492591166498,12483.97696097384,11525.469446959587,10445.115722566103,437.16329228098465,517.428368862278,675.2757442663285,829.4423589841707,1334.6975342888284,853.4964223790665,667.1754720198568
E01004756,8636.672564110899,8826.530956029223,9414.572292770445,9402.48053149815,12539.211418062147,11374.801827353549,10234.139412877703,297.18392518736596,332.62446513162325,384.00095853442025,477.0413795765725,1023.8418341926402,744.1425333704531,553.3205868115322
E01004757,8621.519395422853,8792.012676623523,9435.224900291143,9323.467273952328,13411.156877611525,11456.2988614326,10011.135525656671,377.2410482243497,428.9979045243358,466.4083801858882,629.8200259296415,1995.5937971344806,1092.89202592893,729.7445232629858
E01004760,8725.616799687654,8927.763163512012,9524.661610267516,9461.170756065416,13296.186612289304,11613.449796665169,10317.966691853837,246.3799720842841,289.1469028729945,350.8307830408648,416.1525856571939,790.7164004990871,585.1940042843087,468.4359906478261
E01004761,9437.445505089749,9783.758035203335,10418.375208650197,10577.757156792355,12340.763275400723,12061.311862286107,11332.09206102578,2547.2537970919734,3154.7220340110352,2544.6724487543092,2632.5676569210195,3449.4587207837685,3758.234814882745,4206.079241063445
E01004762,9284.744474861223,9580.783026419194,10137.370400639895,10314.363572757533,11733.801267442035,11495.689531627937,10806.277461819627,829.4750657611298,1128.2502243236127,955.303708489815,1141.1423548446674,1526.1353714458353,1294.7518669510396,1197.0265955418304
E01004763,9364.157203359455,9609.864425280517,10127.263325633478,10281.911374473588,11296.214261696772,11408.201500562676,10814.664988410355,533.3507818230026,632.018785430929,685.8500576489947,825.8132317522209,1094.3523997056059,958.9771395859445,773.3055426809008
E01004765,9456.654245600927,9710.842671337887,10290.968283765733,10414.432187809669,11334.216143454123,12257.43540141374,11291.0554652304,558.7217185363082,621.4636119937061,874.9150599926369,840.1853625572272,1199.6215024620324,5124.782328356353,2863.290903545235
E01032512,9152.031702430175,9417.538899883797,10132.41511050031,10263.217498251885,12940.097900802213,12024.103841478685,10932.060017808733,797.4558751325375,923.2219912996972,1136.4847133724834,1422.1166717682759,1359.8133584080447,1428.7047751664732,1382.2385676233773
E01032513,8730.613881330035,8890.840799171023,9480.56694298789,9426.005278669314,13226.350877069897,11640.441461818637,10292.650359163994,304.88822738660684,359.12917997892214,417.665622110907,535.2244958617162,1086.6319624994153,565.2488141022219,457.06371935616147
E01032562,8648.969227725107,8823.620224093242,9509.11991630851,9451.773575512958,15571.44656423604,13284.339038023789,11163.80853966428,292.03558572757936,342.64342951195727,383.01794405031563,593.7393092578609,2598.8159065935074,1096.0188798761274,742.624788682754
E01032563,8492.860796992849,8651.356832515148,9273.701107250306,9189.918345385368,14906.00723667423,12457.853524119882,10618.13914118388,274.438806617035,289.2452839429948,320.00456136341836,454.87089275458686,1750.0899958438763,760.388979172252,604.5721985359132
E01032564,8861.786910906201,9034.00043706536,9754.956459635694,9894.459075291306,15579.768323451355,13949.013782185193,11690.063476428144,256.90292024008073,272.4757021029299,258.3767346033076,494.36089209138123,2323.5211245279033,1401.963118077337,587.514751145932
E01032565,8743.347344084988,8952.571667290724,9710.136696334977,9805.027571762688,15753.66076204008,13575.557305483479,11339.074920254581,473.2205741088094,494.80616171752314,528.9899712155225,742.602876868083,2057.251623655509,1338.2555867138828,828.8372473351602
E01032566,8650.921438976686,8802.724123715478,9597.536621689258,9392.746406875758,17126.145213775053,14007.818762412435,11084.650250038332,260.8593878725523,294.7476288139688,375.0366008271688,553.9437844660168,2603.398160127415,1451.2476026576664,790.4541055606077
E01032567,8623.73779080336,8813.531140508152,9548.639684040963,9439.126812831171,15976.628171419961,13293.019831606865,10876.747249706286,449.87604551946146,526.3370961458457,657.2291326440308,852.0165623210374,2183.44547399444,1332.7383412976756,974.3714165746937
E01032568,8940.298015775215,9293.369873595111,10153.116929155274,10269.235656601644,15147.39606935283,13170.564573877295,11404.691085034543,1058.0120254250337,1242.39663535895,1394.0166096604603,1683.306907349612,2406.687683180296,1269.771427269145,1200.694543970396
E01032569,8439.0325191634,8641.954259601285,9366.588654068877,9259.098671213918,15936.206528312128,13038.25176320374,10843.434490546517,388.21935707676454,447.1986116487631,580.6657106751451,750.4376047210536,2224.3365719569447,1354.5476354056225,1167.9823378130143
E01032572,8847.390953431395,8996.53524064857,9649.065948666817,9652.862957284528,14774.683553369436,13162.673090051187,11506.758271100163,965.1438680487264,971.4462330247023,1168.7169807402324,1782.7331119881537,4138.826655701118,4440.28118634634,4712.015654448714
E01032573,8611.012443371796,8803.404123974335,9458.811872696142,9398.537091522656,13687.757480551216,12080.223280711432,10580.47953522516,471.5771219320068,536.5320939987138,574.5792240986974,719.4366305102495,1990.1184164797262,1141.8053251270442,808.4584417960241
E01032574,9466.17788805732,9853.22048684264,10739.021558821727,11023.091558787346,13994.819063780395,13736.562907805317,12369.57638874454,1316.0525971424586,1517.0059600450138,1792.9252864144528,2051.667901972404,2452.832547816969,2438.6517589848854,2291.5614413730186
E01032575,9015.54811747219,9364.4213302929,10105.712067689496,10291.285147761255,13083.300153827746,12579.550701556354,11609.073095349537,727.8486516127614,836.7686533883456,950.7320768104358,1098.2129830575489,1312.330440390676,1183.353853586414,1440.6367030134338
E01032576,8726.841871859593,8953.620828210653,9752.730713648723,9829.696210143902,14801.050788023551,13368.846127025696,11485.438199457834,292.5902909836818,331.1932237653677,338.1884958102387,559.8341854192694,2019.6755947756558,648.0119608575552,600.7986994728632
E01032577,8728.314752172832,8922.692502414877,9770.408219449748,9695.216031013546,16343.651073496441,14398.490594352026,11625.192433216276,279.9878342929636,299.6645811117344,341.58916718921813,487.324926279361,2523.7406269951093,1676.0547670757994,721.0078513736721
E01032579,9163.251587405488,9400.140417083583,10031.403168008988,10155.225911428206,13276.470681516606,12339.21343776235,11092.386467855913,683.1473781590445,791.2934399387623,967.9792749837003,1152.232494620878,1740.1845781882166,1364.2910629055805,1185.912241549189
E01032580,8777.242244292576,9074.974132442208,9794.422688946808,10018.980087632317,13134.072615759695,12668.444368188666,11411.705545459525,268.83014121258344,309.72131060828013,310.2244502164825,428.6514958941954,1030.9356812676567,495.08214997108104,487.34461601622394
E01032581,8820.035450784568,9115.012765453865,9901.065437441788,9984.086441316986,14121.465134661583,13176.24245110931,11516.419859437687,773.2524423187467,828.3660090859402,774.6614059033519,909.7573930795018,2072.5460673672,1554.2223317397945,1174.26381981979
E01032582,9470.908602067282,9788.880926149548,10427.818975669745,10646.015344759975,12231.070252842534,12293.018609144985,11582.495676533306,976.6603366020229,1165.2169651056804,1536.1272788188196,1854.9620308671963,2226.9554501734615,3728.631941040252,4405.59709476113
E01032583,9178.682333833014,9459.992249507675,10015.892561369097,10186.163076561426,12031.789662020972,11741.24096871412,10825.999195180591,617.242416027999,682.2403273247342,743.707598559554,919.0169185664714,1060.5886512047953,1067.9710123745042,966.4353606423037
E01032584,8933.629527238949,9144.938185723004,9657.94398542859,9675.995928401042,12138.733877209008,11287.211422352579,10444.499252989306,399.70444093693783,436.7265836073082,509.65985126151236,595.507757021712,936.6470198215724,732.9671224947839,885.728487955805
E01032623,8333.154400086638,8512.009490477201,9319.622613145115,9191.741986677132,15791.897651603918,12883.28101548887,10787.199389713047,295.51264308749376,317.6910710505347,357.22370306003137,504.8357364364152,1587.3300445868456,701.2127978541797,752.7566481374442
E01032637,9257.053770686294,9620.20364214732,10277.774446238265,10534.948910779858,11815.046749577652,11579.079550406517,10842.487572122856,704.8852594021974,781.0744045404268,1004.2325556285576,1031.0676040543456,884.3404111485613,904.6712229965917,906.2837019782711
E01032638,9557.811829024125,9929.253577862997,10531.321887005417,10755.783743381886,12099.357176734,11852.158816250692,10888.921282708976,783.238416914352,911.0085333039623,1004.3144931922293,1246.1471274041844,1253.6325054417798,1247.163346732485,1011.8235931836501
E01032639,9278.337237448104,9509.36631689806,10114.70003475463,10316.395158876847,12601.667498739751,12333.951498676142,11304.668642292767,358.1842820874065,429.1279110011089,617.6044482448658,689.5596162170967,1103.734625686026,908.2014870146298,724.7944818763913
E01032640,8989.331154120246,9356.459287101665,9995.543546296562,10146.40176215353,11107.9045471121,10929.210996097903,10270.694707433047,428.89488539138404,508.59910670434544,557.1535495212856,669.2086500215722,619.4402354934372,615.8097800889655,551.8261687158775
E01032646,9054.902856344384,9320.761242592205,9895.164178091027,10000.430420541818,12065.076245714285,11401.433442006813,10568.496345725187,401.3984620870381,467.4462541487246,550.8474592888625,706.6964951154366,1483.3117001949922,736.2651063028862,605.1858539992353
E01032719,8925.967901293865,9121.129528186199,9594.989365872416,9697.185245241903,12092.813677749415,11374.276952991539,10431.843216895146,325.607141025435,336.63987818903036,447.3259784368945,529.8009611447285,1121.6590269050246,755.1222854873081,568.4823778200451
E01032739,9264.991397849688,9549.699042378128,10062.344398345347,10190.136574084081,11116.50322211192,11269.641812122218,10635.720803950624,708.8105354570414,780.4197422482582,909.9899841908907,1057.1267532515715,1491.7905432149737,1546.5126165055347,1340.5747172178026
E01032740,9404.43718404396,9685.612600716277,10221.493774863284,10329.161988301074,11632.436603374574,11523.276224387928,10766.93126684353,696.7941565566891,795.4372920712403,976.9531637867882,1050.6693986710227,1541.5767984217568,1166.9666028424022,980.3456177870619
E01032741,8801.796430140152,9264.813625089035,10153.502947402103,10396.424917940243,12610.018841853043,12339.962868744615,11358.37444483563,646.1281229921101,712.8756457111781,813.6525032698356,977.295571850489,1359.4989572222748,1020.9697679602286,889.1313121935792
